Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
1/22/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,17,0.125,0,3.5
1/23/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
1/24/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
1/25/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
1/26/2021,38,,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,NaN,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
1/27/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
1/28/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,NaN,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
1/29/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,17,0.125,0,3.5
1/30/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
1/31/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
2/1/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,NaN,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/2/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/3/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/4/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/5/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,17,0.125,0,3.5
2/6/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
2/7/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4.25,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
2/8/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/9/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/10/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/11/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,,1.5,4.25,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/12/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,NaN,0.1,4,0.75,-0.1,,1.5,4,NaN,0,0.25,0.25,NaN,0.1,1.25,1,4.25,,0,,17,0.125,0,3.5
2/13/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
2/14/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
2/15/2021,38,0.1,NaN,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,NaN,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/16/2021,38,0.1,NaN,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/17/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.75,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/18/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/19/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,NaN,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,17,0.125,0,3.5
2/20/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
2/21/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
2/22/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/23/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/24/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/25/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,NaN,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
2/26/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,,17,0.125,0,3.5
2/27/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
2/28/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
3/1/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/2/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/3/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/4/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/5/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,,17,0.125,0,3.5
3/6/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
3/7/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
3/8/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/9/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.5,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/10/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/11/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,NaN,0.1,NaN,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/12/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,17,0.125,0,3.5
3/13/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
3/14/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
3/15/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,NaN,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/16/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/17/2021,38,0.1,2,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/18/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.6,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,1,0,0.5,17,0.125,0,3.5
3/19/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.25,,0,0.5,19,0.125,0,3.5
3/20/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,0.5,NaN,0.125,0,3.5
3/21/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,0.5,NaN,0.125,0,NaN
3/22/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,NaN
3/23/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
3/24/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
3/25/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
3/26/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,,0,0.5,19,0.125,0,3.5
3/27/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
3/28/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
3/29/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,NaN,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
3/30/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
3/31/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
4/1/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,,0.1,0.5,NaN,0.6,3.5,0.1,NaN,NaN,-0.1,0.5,1.25,4,1.75,NaN,0.25,,NaN,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
4/2/2021,38,,2.75,0.25,-0.75,NaN,3.85,1.75,NaN,,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,-0.1,0.5,1.25,4,1.75,NaN,NaN,,NaN,0.1,1.25,1,4.5,,NaN,0.5,19,0.125,0,NaN
4/3/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
4/4/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
4/5/2021,38,,2.75,0.25,-0.75,0.5,3.85,1.75,NaN,,NaN,NaN,NaN,NaN,3.5,0.1,4,NaN,-0.1,0.5,1.25,4,1.75,NaN,NaN,0.25,2,NaN,1.25,1,4.5,1,NaN,0.5,19,0.125,0,NaN
4/6/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,NaN,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/7/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
4/8/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
4/9/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,NaN,0.1,1.25,1,4.5,,0,0.5,19,0.125,0,3.5
4/10/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
4/11/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
4/12/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,0.5,19,0.125,0,3.5
4/13/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,NaN,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/14/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,NaN,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/15/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/16/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,,0,,19,0.125,0,3.5
4/17/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,4,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
4/18/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
4/19/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/20/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/21/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,NaN,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/22/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,NaN,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,1,0,,19,0.125,0,3.5
4/23/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,4.5,,0,0.5,NaN,0.125,0,3.5
4/24/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
4/25/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
4/26/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
4/27/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,NaN
4/28/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,1.75,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
4/29/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,1.25,4,NaN,0,0.25,0.25,2,0.1,1.25,1,5,1,0,0.5,19,0.125,0,3.5
4/30/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,,0.1,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,NaN,4,1.75,0,0.25,0.25,2,0.1,NaN,1,5,,0,0.5,19,0.125,0,3.5
5/1/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,,NaN,,NaN,0.125,0,3.5
5/2/2021,38,,NaN,NaN,,NaN,3.85,1.75,,,,NaN,NaN,NaN,NaN,0.1,NaN,NaN,,,NaN,4,NaN,NaN,NaN,,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,0.125,0,NaN
5/3/2021,38,0.1,2.75,0.25,-0.75,0.5,3.85,1.75,0.25,-0.5,NaN,0.5,NaN,0.6,3.5,0.1,4,0.75,-0.1,0.5,NaN,4,1.75,0,0.25,0.25,2,NaN,NaN,1,NaN,1,0,,19,0.125,0,3.5
